data_num,trick_type,time,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.0,1.0,33953125.0,-4607.0,1513.0,-3113.0,-0.2,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,33939453.0,-4590.0,1554.0,-3141.0,-0.21,-3.49,9.63,0.05,-0.11,-0.03
1.0,1.0,33925781.0,-4596.0,1497.0,-3142.0,-0.24,-3.45,9.59,0.05,-0.11,-0.03
1.0,1.0,33912109.0,-4597.0,1505.0,-3145.0,-0.23,-3.46,9.57,0.05,-0.1,-0.03
1.0,1.0,33898437.0,-4613.0,1519.0,-3162.0,-0.22,-3.45,9.57,0.05,-0.1,-0.03
1.0,1.0,33884765.0,-4579.0,1526.0,-3193.0,-0.18,-3.47,9.63,0.05,-0.11,-0.03
1.0,1.0,33871093.0,-4585.0,1497.0,-3207.0,-0.22,-3.48,9.66,0.05,-0.11,-0.03
1.0,1.0,33857421.0,-4605.0,1535.0,-3171.0,-0.2,-3.44,9.58,0.05,-0.11,-0.03
1.0,1.0,33843750.0,-4572.0,1550.0,-3150.0,-0.2,-3.48,9.61,0.05,-0.11,-0.03
1.0,1.0,33829101.0,-4609.0,1516.0,-3180.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33815429.0,-4598.0,1544.0,-3124.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,33801757.0,-4621.0,1559.0,-3160.0,-0.21,-3.46,9.58,0.05,-0.11,-0.03
1.0,1.0,33788085.0,-4584.0,1540.0,-3155.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,33774414.0,-4598.0,1563.0,-3140.0,-0.22,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33760742.0,-4609.0,1537.0,-3139.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33747070.0,-4611.0,1528.0,-3120.0,-0.21,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,33733398.0,-4634.0,1546.0,-3145.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,33719726.0,-4638.0,1521.0,-3184.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33706054.0,-4629.0,1538.0,-3127.0,-0.21,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,33692382.0,-4608.0,1528.0,-3118.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33678710.0,-4601.0,1496.0,-3157.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,33665039.0,-4591.0,1518.0,-3138.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,33651367.0,-4585.0,1509.0,-3151.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,33637695.0,-4572.0,1502.0,-3148.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33624023.0,-4603.0,1508.0,-3131.0,-0.22,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,33610351.0,-4618.0,1530.0,-3095.0,-0.22,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,33596679.0,-4623.0,1548.0,-3085.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,33583007.0,-4630.0,1542.0,-3124.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33569335.0,-4615.0,1519.0,-3139.0,-0.2,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33555664.0,-4570.0,1513.0,-3085.0,-0.21,-3.45,9.6,0.05,-0.11,-0.03
1.0,1.0,33541992.0,-4583.0,1532.0,-3134.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33528320.0,-4614.0,1514.0,-3154.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33514648.0,-4614.0,1539.0,-3156.0,-0.22,-3.48,9.6,0.05,-0.11,-0.03
1.0,1.0,33500976.0,-4578.0,1512.0,-3144.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33487304.0,-4588.0,1476.0,-3133.0,-0.22,-3.45,9.61,0.05,-0.11,-0.03
1.0,1.0,33473632.0,-4586.0,1507.0,-3107.0,-0.21,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33459960.0,-4582.0,1488.0,-3097.0,-0.22,-3.46,9.6,0.05,-0.11,-0.03
1.0,1.0,33446289.0,-4586.0,1528.0,-3160.0,-0.2,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,33432617.0,-4603.0,1497.0,-3119.0,-0.21,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33418945.0,-4610.0,1497.0,-3130.0,-0.2,-3.46,9.61,0.05,-0.11,-0.03
1.0,1.0,33405273.0,-4637.0,1517.0,-3144.0,-0.21,-3.46,9.59,0.05,-0.11,-0.03
1.0,1.0,33391601.0,-4627.0,1519.0,-3129.0,-0.22,-3.47,9.61,0.05,-0.11,-0.03
1.0,1.0,33377929.0,-4621.0,1546.0,-3150.0,-0.2,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33364257.0,-4598.0,1517.0,-3135.0,-0.2,-3.47,9.6,0.05,-0.11,-0.03
1.0,1.0,33350585.0,-4629.0,1529.0,-3128.0,-0.22,-3.47,9.59,0.05,-0.11,-0.03
1.0,1.0,33336914.0,-4610.0,1542.0,-3137.0,-0.21,-3.46,9.61,0.05,-0.11,-0.03
